151: [0.21966667473316193, 0.8023478984832764, 0.0004819167370442301, 0.13015836785467383], [3, 19GB, 4GB, 136MB]
152: [0.2662369906902313, 0.6706408858299255, 0.0924221640304499, 0.037840910255908966], [4, 16GB, 6GB, 42MB]
153: [0.18768064677715302, 0.08478344556945183, 0.9984909892082214, 1.0], [3, 2GB, 29GB, 1GB]
154: [0.1835949420928955, 0.9260443449020386, 2.5143069706246024e-06, 5.911304469918832e-06], [3, 22GB, 4GB, 4MB]
155: [0.2190854847431183, 0.7826077342033386, 2.1256770196487196e-05, 0.328513929753397], [3, 18GB, 4GB, 339MB]
156: [0.23652951498749486, 0.8059791922569275, 1.340691505902214e-05, 1.9509448975441046e-05], [3, 19GB, 4GB, 4MB]
157: [0.215305358171463, 0.6239150166511536, 0.000261570094153285, 0.003997887019068003], [3, 15GB, 4GB, 8MB]
158: [0.1911267638206482, 0.5458080768585205, 0.03602207452058792, 0.5726725843308308], [3, 13GB, 4GB, 588MB]
159: [0.22617153823375702, 0.6212146282196045, 0.17327830073728934, 0.7894130945205688], [3, 14GB, 8GB, 809MB]
160: [0.23832297325134277, 0.6325063109397888, 0.003327157348394394, 0.05258839577436447], [3, 15GB, 4GB, 57MB]
161: [0.23263488709926605, 0.6194874048233032, 0.0022888081148266792, 0.055345695465803146], [3, 14GB, 4GB, 60MB]
162: [0.2084687054157257, 0.9939709930102423, 1.9830381461360957e-06, 3.306246071588248e-06], [3, 23GB, 4GB, 4MB]
163: [0.19935688376426697, 0.7096284627914429, 0.3253098239428288, 0.17400416731834412], [3, 17GB, 12GB, 181MB]
164: [0.18247729539871216, 0.7669549584388733, 0.0007103178650140762, 0.004367786925286055], [3, 18GB, 4GB, 8MB]
165: [0.2774581015110016, 0.552598237991333, 0.022888917475938797, 0.33678683638572693], [4, 13GB, 4GB, 347MB]
166: [0.27299997210502625, 0.5424379706382751, 0.028956836089491844, 0.6731627853182345], [4, 13GB, 4GB, 690MB]
167: [0.2763274312019348, 0.5004454851150513, 0.058938734233379364, 0.6190042191163182], [4, 12GB, 5GB, 635MB]
168: [0.2546082139015198, 0.3416185604633858, 0.35098686814308167, 0.9985195398330688], [4, 8GB, 13GB, 1022MB]
169: [0.1747245490550995, 0.7549617290496826, 0.44858401875441445, 0.00011483379785204306], [3, 18GB, 15GB, 4MB]
170: [0.19199515879154205, 0.7193158864974976, 0.05915139243006706, 0.22035185992717743], [3, 17GB, 5GB, 228MB]
171: [0.6052525996207352, 0.7284855246543884, 0.34617987275123596, 0.051282450556755066], [6, 17GB, 13GB, 56MB]
172: [0.24766729772090912, 0.6447945237159729, 0.1548096090555191, 0.08310025930404663], [3, 15GB, 8GB, 88MB]
173: [0.24791193008422852, 0.6576630473136902, 0.00841182004660368, 0.017676129937171936], [3, 15GB, 4GB, 22MB]
174: [0.30740222334861755, 0.4711744487285614, 0.11272935569286346, 0.17704252898693085], [4, 11GB, 6GB, 184MB]
175: [0.789205689695726, 0.6046960949897766, 0.15656374394893646, 0.20737811923027039], [7, 14GB, 8GB, 215MB]
176: [0.26472654938697815, 0.5802093148231506, 0.0394599512219429, 0.08210896700620651], [4, 13GB, 5GB, 87MB]
177: [0.2335742712020874, 0.6989516615867615, 1.0676737474568654e-05, 2.760864958872844e-07], [3, 16GB, 4GB, 4MB]
178: [0.21137408912181854, 0.7413058280944824, 0.0028261274565011263, 0.010878150351345539], [3, 17GB, 4GB, 15MB]
179: [0.24700438976287842, 0.6688969731330872, 0.09245558083057404, 0.08411342650651932], [3, 16GB, 6GB, 89MB]
180: [0.2148609757423401, 0.9577140638355018, 0.0009276341297663748, 0.021748971194028854], [3, 22GB, 4GB, 26MB]
181: [0.050650456231351226, 0.7795672416687012, 0.003248840570449829, 0.000768881815019995], [2, 18GB, 4GB, 4MB]
182: [0.5793825450262945, 0.7154883742332458, 0.07368288934230804, 0.13413814035982696], [5, 17GB, 5GB, 140MB]
183: [0.15387565322303187, 0.7068719863891602, 0.0043550217524170876, 0.007126167416572571], [3, 17GB, 4GB, 11MB]
184: [0.2201072722673416, 0.7105425596237183, 0.005834202282130718, 0.0005491224001161754], [3, 17GB, 4GB, 4MB]
185: [0.28023871779441833, 0.605615496635437, 0.00555726932361722, 0.02215837687253952], [4, 14GB, 4GB, 26MB]
186: [0.24349254369735718, 0.7516016960144043, 0.00010548317368375137, 0.00017960228433366865], [3, 18GB, 4GB, 4MB]
187: [0.5519022755385359, 0.7541415691375732, 0.0026342233177274466, 0.008407075889408588], [5, 18GB, 4GB, 12MB]
188: [0.2616051733493805, 0.6820768117904663, 0.008226876147091389, 0.03502950072288513], [4, 16GB, 4GB, 39MB]
